instance_id,city_id,cluster_pattern,scale,instance_seed,lower_bound,upper_bound,gap,status,bks_technicians,bks_travel_time_min,bks_waiting_time_min,method,run_seed,source_run_seeds,validator_status,solution_file,solution_sha256,dataset_release,source_reference_batch
GISB-BJS-CU-500-S078,BJS,CU,500,78,3,4,1,K-OPEN,4,5947.70905,89.850171,IGA,303.0,303,PASS,solutions/GISB-BJS-CU-500-S078_solution.csv,20f46a9c740c517156292203ee90a36fdabf44ea8eee5086c0db14582e2f7b1b,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-BJS-CU-500-S090,BJS,CU,500,90,3,3,0,K-OPT,3,5804.807663,31.652001,IGA_fixed_K3_refinement_5x90s,101.0,101,PASS,solutions/GISB-BJS-CU-500-S090_solution.csv,133fdad30e23d59ea9a523dc76672f5dc89618f36655a8f423695524da268c77,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-BJS-CZ-100-S012,BJS,CZ,100,12,1,1,0,K-OPT,1,132.695347,232.312742,B0_5IGA_route_templates_plus_CPLEX_recombination,,0|101|202|303|404|505,PASS,solutions/GISB-BJS-CZ-100-S012_solution.csv,9d7cd41795d393d6e21e0c08091b83fbc207d8102a15cc1a60168b81224f5e10,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-BJS-CZ-100-S034,BJS,CZ,100,34,1,1,0,K-OPT,1,253.696244,357.99632,B0_5IGA_route_templates_plus_CPLEX_recombination,,0|101|202|303|404|505,PASS,solutions/GISB-BJS-CZ-100-S034_solution.csv,258c55e8fa07d3f04763044e6d3f0305297fde0d9f357e36cdacf80ecec13ff0,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-BJS-CZ-100-S056,BJS,CZ,100,56,1,1,0,K-OPT,1,220.497501,114.959212,B0_5IGA_route_templates_plus_CPLEX_recombination,,0|101|202|303|404|505,PASS,solutions/GISB-BJS-CZ-100-S056_solution.csv,4d6fca21b485b30bf2515779d02539f03abe469395780063ca7e438ef377d902,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-BJS-CZ-100-S078,BJS,CZ,100,78,1,1,0,K-OPT,1,275.870105,210.122506,B0_5IGA_route_templates_plus_CPLEX_recombination,,0|101|202|303|404|505,PASS,solutions/GISB-BJS-CZ-100-S078_solution.csv,f5010b2fe39dfebbcfe16948f867296169d998b83e5d6baabaf6402231b113fd,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-BJS-CZ-100-S090,BJS,CZ,100,90,1,1,0,K-OPT,1,223.262965,168.971731,B0_5IGA_route_templates_plus_CPLEX_recombination,,0|101|202|303|404|505,PASS,solutions/GISB-BJS-CZ-100-S090_solution.csv,b2e78b1b35bd4738dce738fb11ee8a7555b1c74975a482dfe6024ce7e398a945,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-BJS-CZ-1000-S012,BJS,CZ,1000,12,5,6,1,K-OPEN,6,7835.293764,305.292417,IGA,303.0,303,PASS,solutions/GISB-BJS-CZ-1000-S012_solution.csv,6e4e17ca03695452b9156ead7cd44d1f9a2cecf69cebe0a611e635d85c0b82e4,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-BJS-CZ-1000-S034,BJS,CZ,1000,34,5,6,1,K-OPEN,6,11361.239327,267.164295,IGA,202.0,202,PASS,solutions/GISB-BJS-CZ-1000-S034_solution.csv,2e97a4b3c0baf3afea2183c44a763c5c451d208d1242302d0cad26f8a98e45d0,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-BJS-CZ-1000-S056,BJS,CZ,1000,56,5,6,1,K-OPEN,6,11490.882694,329.99794,IGA,101.0,101,PASS,solutions/GISB-BJS-CZ-1000-S056_solution.csv,7aa95e627ad88d093e5a9afd7b92b1bc356599a491b27f13c8242a2822a54aff,GIS-B-ME-v1.0,20260909_reference_after_small45
