city_code,building_anchor_id,legacy_building_id,building_osm_id,geometry_hausdorff_degrees
BJS,B00243,way/15309,way/637237555,1.5888218580782548e-14
BJS,B00244,way/3345,way/258198507,1.5888218580782548e-14
BJS,B00245,way/16882,way/638337374,7.105427357601002e-15
BJS,B00246,way/16650,way/638294687,1.5888218580782548e-14
BJS,B00247,way/24402,way/996023205,1.4210854715202004e-14
BJS,B00248,way/12866,way/525991164,1.4210854715202004e-14
BJS,B00249,way/11888,way/521039212,1.5888218580782548e-14
BJS,B00250,way/30530,way/1479065739,1.4210854715202004e-14
BJS,B00251,way/8012,way/477732109,1.4210854715202004e-14
BJS,B00252,way/3623,way/263044770,1.4210854715202004e-14
BJS,B00253,way/15053,way/637225572,1.4210854715202004e-14
BJS,B00254,way/5834,way/371402249,1.4210854715202004e-14
BJS,B00255,way/19539,way/764434367,1.4210854715202004e-14
BJS,B00256,way/23586,way/948923895,1.5888218580782548e-14
BJS,B00257,way/12345,way/524660478,1.5888218580782548e-14
BJS,B00258,way/22105,way/893287767,1.5888218580782548e-14
BJS,B00259,way/12804,way/525986583,1.4210854715202004e-14
BJS,B00260,way/17928,way/656345099,1.4210854715202004e-14
BJS,B00261,way/6198,way/419838169,1.4210854715202004e-14
BJS,B00262,way/14608,way/636389193,1.4210854715202004e-14
BJS,B00263,way/38,relation/6096147,1.5888218580782548e-14
BJS,B00264,way/7392,way/469512068,1.4210854715202004e-14
BJS,B00265,way/19624,way/764434454,1.5888218580782548e-14
BJS,B00266,way/20177,way/764451517,1.4210854715202004e-14
BJS,B00267,way/12882,way/527051489,2.0097183471152322e-14
BJS,B00268,way/22448,way/893297440,1.4210854715202004e-14
BJS,B00269,way/9218,way/478494809,1.4210854715202004e-14
BJS,B00270,way/26711,way/1243853004,1.4210854715202004e-14
BJS,B00271,way/25562,way/1156108115,1.5888218580782548e-14
BJS,B00272,way/14449,way/636388959,1.4210854715202004e-14
BJS,B00273,way/14842,way/636389439,1.5888218580782548e-14
BJS,B00274,way/4804,way/347277329,1.5888218580782548e-14
BJS,B00275,way/5060,way/350793564,1.4210854715202004e-14
BJS,B00276,way/19998,way/764441518,1.4210854715202004e-14
BJS,B00277,way/23701,way/950261428,1.5888218580782548e-14
BJS,B00278,way/7121,way/468464133,1.4210854715202004e-14
BJS,B00279,way/3394,way/262361660,1.4210854715202004e-14
BJS,B00280,way/27463,way/1258122795,1.4210854715202004e-14
BJS,B00281,way/6499,way/426406732,1.5888218580782548e-14
BJS,B00282,way/19062,way/727050378,1.4210854715202004e-14
BJS,B00283,way/6097,way/404387045,1.5888218580782548e-14
BJS,B00284,way/2125,way/228580202,1.5888218580782548e-14
BJS,B00285,way/2456,way/234220360,1.5888218580782548e-14
BJS,B00286,way/13555,way/616041224,1.4210854715202004e-14
BJS,B00287,way/1317,way/107087211,1.4210854715202004e-14
BJS,B00288,way/23635,way/950001432,1.4210854715202004e-14
BJS,B00289,way/22490,way/893303923,1.4210854715202004e-14
BJS,B00290,way/22813,way/893304248,1.4210854715202004e-14
BJS,B00291,way/6549,way/426414888,1.5888218580782548e-14
BJS,B00292,way/13895,way/631920051,1.4210854715202004e-14
BJS,B00293,way/25904,way/1222438133,1.4210854715202004e-14
BJS,B00294,way/1654,way/169431756,1.5888218580782548e-14
BJS,B00295,way/21598,way/840208531,2.0097183471152322e-14
BJS,B00296,way/30600,way/1491119928,1.5888218580782548e-14
BJS,B00297,way/22880,way/911803143,1.5888218580782548e-14
BJS,B00298,way/27581,way/1280871713,1.5888218580782548e-14
BJS,B00299,way/6877,way/453480097,1.4210854715202004e-14
BJS,B00300,way/10510,way/479314939,1.4210854715202004e-14
BJS,B00301,way/10559,way/479315002,2.0097183471152322e-14
BJS,B00302,way/20495,way/764531342,1.5888218580782548e-14
BJS,B00303,way/4390,way/312056675,1.5888218580782548e-14
BJS,B00304,way/16066,way/637271127,1.5888218580782548e-14
BJS,B00305,way/17149,way/638714857,1.4210854715202004e-14
BJS,B00306,way/17069,way/638714759,1.4210854715202004e-14
BJS,B00307,way/24065,way/984691485,1.5888218580782548e-14
BJS,B00308,way/10316,way/479291508,1.4210854715202004e-14
BJS,B00309,way/10208,way/479285424,1.5888218580782548e-14
BJS,B00310,way/21292,way/764628400,2.0097183471152322e-14
